Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
HistGradientBoosting,87.94642857142857,65.11627906976744,41.7910447761194,50.90909090909091,88.18114153641243
Tuned Random Forest,87.72321428571429,66.66666666666666,35.82089552238806,46.601941747572816,85.74254710698476
Tuned Gradient Boosting,87.72321428571429,67.64705882352942,34.32835820895522,45.54455445544555,89.2231754612763
Tuned XGBoost,87.5,64.1025641025641,37.3134328358209,47.16981132075472,89.18400125357464
Extra Trees,87.27678571428571,65.625,31.343283582089555,42.42424242424242,80.689074313472
CatBoost,87.27678571428571,62.5,37.3134328358209,46.728971962616825,88.91369922043326
